id,name,createdOn,updatedOn
1,A (city car),05-12-2025 08:13,05-12-2025 08:13
2,B (small car),05-12-2025 08:13,05-12-2025 08:13
3,C (medium car),05-12-2025 08:13,05-12-2025 08:13
4,D (large car),05-12-2025 08:13,05-12-2025 08:13
5,E (executive car),05-12-2025 08:13,05-12-2025 08:13
6,F (luxury car),05-12-2025 08:13,05-12-2025 08:13
7,J (sport-utility vehicle (SUV)/crossover-utility vehicle (CUV)),05-12-2025 08:13,05-12-2025 08:13
8,S (sport coupes),05-12-2025 08:13,05-12-2025 08:13
9,M (multi-purpose vehicle (MPV)),05-12-2025 08:13,05-12-2025 08:13
